title,review,score,mall,date,reviewer
최악이에요,"6/30일 주문해서드디어 7/13일 설치했습니다. LG공식대리점이라 뭔가 믿음직해서 주문을 했습니다. 희망배송일 입력도 있고해서 이사날짜(6일)에 맞춰서 주문을 했습니다.같은날 하*마트에도 하나 주문을 넣었습니다. 하*마트에서는 바로 월요일에 문자가 왔습니다. 주문 다음날 배송가능하다고~그래서 날짜를 미뤄서 확정을 했고 정확하게 배송이 되었습니다. 여기 대리점에서 주문한 제품은 감감무소식...........희망배송일있으니 문제없이 되나보다........착각했습니다. 이사당일 소식없어서 연락해봤더니, 주말이라 또 철저하게 상담센터 운영안합니다. 평일도 10시이후에나 5시까지만 상담가능합니다. 이사당일 결국 음식 모두 버리고 냉장고 못받고 주말지나서 평일날 진상을 피웠더니 모두 고객 잘못이랍니다. 인정합니다. 제가바빠서 먼저 확인전화도 못했고, 분명히 늦을수 있다는 주문시 상품안내란에 공고했음에도 제가 그걸 안읽은 탓이었습니다. 하*마트처럼 해피콜같은 안내문자나 전화가 올거라 미리 착각했습니다. 소비자 피해구제신고는 신고하랍니다. (상세내용으로 상품안내에 다 적었으니 고객 귀책이니까 해도 의미없을수 있겠죠.) 최종 설치 배송은 LG물류센터에서 직영으로 배송해주는 점은 좋았습니다. LG물류에서는 바로 문자가 옵니다. 물류기사님들도 설치 전문가라 정말 조심조심 깔끔하게 잘 설치해주고 가셨습니다. 대리점의 대응이 아쉽웠습니다. 냉장고도 잘 동작하고 있습니다. 가성비로 제가 딱 원하는 기능만 있어서 마음에 듭니다. 다만 도어 재질은 좀 반짝거려서 기스같은게 난다면 티가 날수도 있을것 같습니다. 주문하실 분들 주문후에 배송문자 안오면 꼭 먼저 전화로 대리점에 미리미리 확인하시면 됩니다.",20점,11번가,2019.07.13.,S|****
배송은 생각보다 빠르게 왔어요..쓰던 냉장고가 고장나서,"배송은 생각보다 빠르게 왔어요..쓰던 냉장고가 고장나서 급하게 주문한건데.. 리뷰에 늦는다..한달걸렸다는 말이 있어서 불안했는데 다행히도 걱정이 무색했네요..설치기사 분들도 친절했고, 기존에 LG 냉장고 쓰던것도 회수해 주셨어요. 친절하게 내부의 보호 필름도 일일이 제거해주시고, 쓰레기 수거도 해가시고, 평형도 잘 맞춰주셨어요. 기존 냉장고가 갑자기 문이 잘 안닫히고 냉장.냉동이 하나도 안되서 바꾼건데..이번에 교체하면서 보니 아래 평형 맞추는 플라스틱 바퀴가 반토막으로 떨어지면서 균형이 안맞아서 냉장고 문이 틀어진거 같더라구요.. 집이 좁고 냉장고 자리가 정해져있어서 기존에 GE사 양문형 냉장고에서 LG 일반형 냉장고로 쓰고있었는데 양문형은 폭이 더 넓어서 포기하고 또 일반형을 사야하나..하고 있었는데 다행히도 이 제품이 있어서 너무 좋아 구매했어요.. 메탈릭 디자인이 세련되서 너무 마음에 들고 매직스페이스가 있어서 애들 있는 집엔 딱이네요. 냉동실도 냉기가 세어나가지 않을거 같고 수납 칸이 많아서 좋아요. 전력소비도 5단계였는데 2단계라 전기세도 많이 절약되겠죠? 다만 기존보다 용량이 많이 적어지고 냉장실은 수납이 좀 좁아진거같은 느낌이 아쉬워요.. 냉동실은 문짝에 수납할 수 없구요.. 얼음통도 편하긴 한데 한번에 얼리는 양이 좀 작은거 같아요.. 그래도 전체적으로 디자인 만족스럽고 오래 쓸 수 있으면 좋겠어요. 냉장고 하나 바꾸려니 이사하는 분위기로 신경도 쓰이고 체력도 힘드네요.. 음식물 쓰레기 버린것도 몇kg인지.. 냉장도 정리해서 깨끗해지고 좋긴해요..ㅋㅋ",100점,SSG.COM,2021.09.09.,pi****
최고예요,주문번호201910203808303아이디 mama865613년정도 함께한 냉장고를 이제는 보내줘야 했기에...가격 기능 디자인 상품평까지 유명한 사이트는다 뒤져보고 어렵게 결정했습니다.배송: 상품평에 많이 늦는다고 해서 지정일 등록하지 않고 느긋하게 기다렸습니다~ 2주이상 생각했는데 주말끼고 일주일 만에 받았어요^^ 등급: 지인들이 냉장고는 무조건 1등급 이라 길래 조금 고민했습니다. 알아보니 에너지효율등급 기준이 높아 졌더군요 기존 냉장고는 1등급 이였지만 소비전력이 (40kWh/월)디자인: 요즘 나오는건 확실히 예전꺼 보다는 이쁘죠^^;;가격: 동일 제품으로 11번가가 젤 착하네요!!!성능/기능: 양문쓰다가 4도어 신세계 입니다♡-♡ 어디에 뭐가 있는지 눈에 확 들어 오고 냉장실 접이식 선반/서랍식 냉동칸 감동입니다!용량: 기존 냉장고는 686L 사용 했었는데 요건 530L라 제일 고민 되더라구요 실제 받고 사용해보니 이상하게 이게 더 큰거 같네요 신랑도 이게 더 큰거 같다고 하더라 구요 530L 절대 작지 않습니다!!!기타: 배송전날 전화 주시고 당일도 딱 시간 맞춰오시고 두분이 오셔서 깔끔하게 설치하고 사용설명도 친절하게 해주시고 폐가전도 수거해 가셨어요 역시 서비스도 엘지네요♡-♡ 단점은 문짝 자동차 처럼 문콕 할수 있다는데 청소기 돌리때 살살하면 괜찮겠죠~사은품 부탁드려요~~~~^^♡,100점,11번가,2019.11.03.,ma****
최고예요,"주문번호: 201911237689663 아이디: opera7942 송장번호: 1061492051-1.1 역시 lg전자입니다~~^^기존냉장고가 문제가 있어 급히 여기저기 검색하고 오프라인 매장도 둘러보고 최종적으로 가장 신뢰가는 11번가에서 lg전자 공식판매업체인 더베스트지성에서 긴급으로 주문했는데 오호~~ 주문한지 이틀만에 아주 선물같은 깔끔하고 세련되고 고급진 LG5도어 매직스페이스 냉장고가 배송되어 왔어요~~친절하게 응답해 주신 더베스트 지성 5번 상담사님~~~정말~정말 긴급으로 친절히 상담 응대해 주시고 빠른 주문처리로 음식 상하지 않게 도와주셔서 정말 정말 감사드려요~~♡♡^^ 또한 냉장고 칼라와 사이즈와 기능,디자인,수납,고급진 재질, 빠른 배송, 친절하고 꼼꼼한 lg물류센터 기사님들의 배송과 설치~~모든 상황이 감사할 따름입니다~~^^♡^^ 특히 다시한번 11번가와 lg공식판매처인 더베스트지성 상담사 선생님과 아주 친절하시고 꼼꼼하게 점검, 설치해 주신 LG 배송 기사님들께 너무 너무 감사드려요~~^^ 잘 사용할게요~~^^사이즈도 집에 잘 어울리고 아주 고급져요~~상품은 F531S35 냉장고 입니다~~^^ 역시 소중한 쇼핑은 11번가 lg공식 판매업체인 더베스트 지성에서 ~~냉장고는 LG냉장고로 꼬옥~~ 구매하시길 강력히 추천합니다~~ 만족도 최상입니다~^♡^11번가! 더베스트 지성! lg전자! 모두 무궁한 발전과 건승을 기원합니다~^^ 감사합니다~~^♡^ 칼블럭 사은품 꼭 받고 싶어요~~^^ 다산 설치 고객",100점,11번가,2019.11.27.,op****
최고예요,"기존 디오스 2도어 양문형을 쓰다가 4도어에 홈바, uv안심제균탈취가 너무 끌려 매장도 둘러보고 온라인 사이트도 하루에 수십번도 더 들락거리며 검색했었는데 저희집에 냉장고 들어가는 위치가 작아 아무리 봐도 냉툭튀라 보기가 좋지않겠더라구요ㅠㅠ 아쉽지만 이사하면 바꿔야하나 하는 생각으로 마음을 비우고 있는 와중에 세미빌트인을 알게됐고 마침 저렴한 가격이 떠서 고민하지도 않고 바로 구매했습니다 사실 기존 냉장고가 고장도 나지않았고 세미빌트인보다 용량도 커서 멀쩡한 냉장고를 버리기가 아깝더라구요 그래서 김치냉장고 겸으로 쓰려고 주방베란다로 빼줄수있냐고 여쭤봤는데 흔쾌히 알겠다고 하셔서 놀랬습니다 결국은 다시 수거해가는걸로 해서 가져가셨지만 불편한 기색없이 기사님들이 수거해가주셔서 너무 감사하네요 두분 다 너무 좋은 인상에 친절히 설치해주셔서 더 마음에 듭니다 아직 양문형에 익숙해서 냉동실 열때마다 냉장문을 열어 당황하고있지만 이것또한 즐겁습니다조금 작은 용량이라 망설이신다면 요즘 냉장고통 잘 나오니 소분해서 정리하시면 충분할것같고 그때그때 음식해먹으면 용량이 작단 느낌은 들지않을것같아요 또 인테리어겸용으로 소형냉장고도 많이 구매하시던데 그렇게 써도 좋을거같구요~ 예전처럼 오래보관해서 버리는 음식이 있는 냉장고보단 깔끔하게 정리되어 신선한 음식이 있는 냉장고로 제격입니다. 이제 소분 할 통을 구매해야겠어요 예쁘고 실용적인 냉장고 만들어준 lg에 다시 한번 감사드립니다~",100점,11번가,2019.04.29.,ve****
너무 만족합니다.,"G마켓 주문번호 : 3237811586, ID : ptw040505월 20일 수요일 00시 03분에 주문했습니다.그러니까 05월 19일 화요일 밤에 주문한 셈인데요.주문한 당일인 05월 20일 수요일에 물류센터에서 바로 전화가 오더니 바로 제품 발송할 수 있도록 해주신다고 하시더군요.저는 대형가전이어서 물량을 확보하는 문제라든지 기사님 직접 방문하고 하면 그래도 1~2주는 걸릴 거라 생각했는데 웬걸 05월 21일 목요일 어제 바로 기사님이 오전부터 전화가 오더니 점심 먹기도 전에 설치가 완료됐습니다.그러니까 05월 20일 수요일 주문, 05월 21일 목요일에 발송 및 설치가 완료된 셈입니다.당일 주문, 익일 발송 및 설치가 된 거죠.이게 무슨 택배도 아니고 가까운 LG 물류센터에서 바로 출고돼서 LG 본사 직영기사님이 바로 오셔서 설치까지 바로 됐습니다.택배도 이보다 빠를 순 없습니다.국가번호 82의 민족다운 아주 빠른 배송이 너무 마음에 들었습니다.그리고 LG 본사 직영기사님이 빠르고 확실하게 수평계까지 맞추신 후 설치해주셨고 냉장고 사용법 등 너무 친절하게 응대해주셨습니다.당연히 마스크도 쓰셨고요.제품은 말할 것도 없이 백색가전의 LG답게 너무나 마음에 듭니다.색상도 유광의 메탈릭 실버 색상이고 내부수납이 사용자 편의에 신경쓴 게 너무나도 잘 느껴집니다.상냉장, 하냉동 방식의 4도어이며 매직 스페이스, 거대한 홈바 하나가 위치합니다.기스나 스크래치 등 전혀 없으며 너무 만족하고 잘 쓰겠습니다.감사합니다.",100점,G마켓,2020.05.22.,pt****
주문 후 배송일을 약 한달뒤로 넉넉하게 잡았고 심지어,주문 후 배송일을 약 한달뒤로 넉넉하게 잡았고 심지어 제가 요구한 날짜보다 빨리 배송해주겠다며 배송예정일 3~4일 전에 다시 연락해서 일정 조절하라고했는데 정작 일주일 전에 전화하니 미리 안내도 없이 그제서야 재고가 없어 배송이 지연된다며 제가 요구했던 날짜보다 늦은 날짜를 얘기했어요. 미리 배송일 지정을 했는데도 재고가 없다는게 참 어이가 없었고요 공장 생산일정 어쩌구 하는데 무슨 동네 구멍가게도 아니고 공장에서는 자기들 일하고 싶을때만 생산하나요? 당장 일주일 뒤에 달라는 것도 아니고 한달도 전에 미리 예약을 한건데도 생산일정이 어쩌구 재고가 없네마네 전혀 납득할 수 없는 소리를 해서 결국 판매자와는 아무리 얘기해봤자 똑같은 소리만 하니 엘지전자까지 전화해서 얘기했네요. 그렇게 번거롭게 3~4일동안 휴대폰만 붙잡고 있었더니 당일 전화올때까지도 배송일 확답은 못해준대놓고 결국 제가 원하는 날짜에 받기는 했어요. 정말 절차와 대응이 너무 엉망이고 소비자로서는 납득할 수 없는 과정이었습니다. 생산이 안되어 재고가 없다더니 결국 보내주는건 뭔지?? 그냥 대충 얘기해서 어쩔수 없으니 기다리겠다고하면 늦게 보내주고 한달전 통화했던 내용 토씨하나 틀림없이 얘기하면서 따지면 그날짜에 보내주고? 오래된 냉장고 바꾸는게 아니고 이사 등으로 인해 아예 새냉장고 사시는 분들은 배송날짜에 대해 매일 전화하셔서 지연되지 않도록 헛소리 못하도록 관리하셔야 제때 받을 수 있을것 같네요^^,100점,신세계몰,2021.06.14.,na****
세미빌트인 사이즈외에는 맞는게,"세미빌트인 사이즈외에는 맞는게 없어서 구매했습니다. 같은 돈 주고 양문형 800리터도 엘지나 삼성꺼 살수있는데 말이죠 ~ 작은 집으로 이사하니 700리터 이상 냉장고는 앞으로 툭 튀어나와 공간활용이 나빴어요. 그렇다고 슬림 저렴한 냉장고는 1등급이지만 냉장기술이 떨어지는지 툭하면 얼고 칸별로 냉기 순환이 안되고. 비싸도 엘지로 좋을것 같아 구매했는데 그저 세컨베스트입니다. 기존 양문형 대형 디오스는 매직스페이스도 좋고 문닫힘도 좋았는데 이건 세미빌트인 사이즈에 매직스페이스까지 넣고 문도 4도어 형태로 집어넣으니 냉장실 문 여닫을때 반대쪽 문이 들썩임이 심하네요. 그리고 매직스페이스도 잘닫히지 않아 꼭 손으로 중간부분을 꾹 눌러줘야합니다~ 하지만 이 크기에, 이 모든 기능을 다 가질 수 있는게 디오스 세미빌트인 뿐이기에... 2인 가정이라 쓸때없이 큰 냉장고가 얼마나 공간차지가 심하고 불편한지 알아서 절충했습니다..서울처럼 땅값 비싼곳억 공간 넓게 쓰는게 돈 버는 거다 그러면서 덩치큰 가전가구 싹다 처분하고 집을 넓게 쓰고 있어요. 기능보다 심미적인 부분이 중요하신 분..그러면서도 좋은 기능을 포기하기 어려운 분에게 추천합니다. 하지만 대형 디오스 기능을 기대하진 마세요.",100점,SSG.COM,2020.11.05.,pp****
결재후 소비자는 을.........,10월11일 뿌리깊은나무에서결재함.....판매자에게 전화하는데 전화연락 무지 안됨여차저차 10월22일 판매자와 연락됬는데 판매자 하는말 다음주 아니면 다다음주나 되야 배송기사한테 연락이 갈것이다함.다음주에 오는지도 확실치않고 배송기사한테 연락받아 설치날짜 다시 잡는것이냐고 했더니 판매자 당당히 그렇다함....그리되면4주가 걸리게 되는건데 홈페이지엔3~14일이라고 했지않냐 했더니 무성의하고 기계적인 답변으로 일관 어이가 없고 말이 안통하겟다 싶어 전화받는분 이름 물어봄 근데 이분 판매처 사장님(ㅠㅠ)결국 말이 안통해 열받아 지마켓 이용하면서 처음으로 지마켓 고객상담인가에 전화했는데 그곳에선 판매자의 상황이 어쩌구 저쩌구 판매자 옹호하는말로 일관..... 어이가 없었음 여튼 3~14일 걸리다고 홈페이지에나와있는데 3~4주 걸리는것이 말이 되느냐 따지니까그제서야 판매자와 연락후 빠른 배송 해준다함 그후 다음날(10월23일) 배송기사 전화왔는데 결국 설치날짜는 배송 바쁘다며 하루더 미뤄달라해서 결재일로부터 정확히 14일후 설치함(11일 금요일날 결재~25일 금요일날 설치) 그리고 오늘 10월27일 일요일 지마켓에서 문자옴(판매자가 발송한지 10일이 지났기에 상품을 잘 받으셧는지 확인하고자 합니다라고)이분??들이 장난치나??라는 생각을 하게 하네요 그래서 덕분에 속좀 썩었네요 전화해서 닥달을 안했으면 3~4주 걸렸을듯.....10월27일자 스샷 첨부,20점,G마켓,2019.10.27.,ze****
최고예요,신혼집에 들어갈 냉장고를 두 달 정도 엄청 고민했습니다. 2도어냐 4도어냐 일반냉장고인데 상냉장 하냉동이냐... 500L 할지 800L이상 할지...이 냉장고를 고른 이유는 일단 후기가 정말 많아서 믿음이 갔고 4도어의 간지 + 매직스페이스 + 200만원 이하인 금액대에 혹했습니다.ㅋㅋㅋ고민이 된 것 중에 실버가 너무 비쳐서 은갈치처럼 보일까봐 주저했는데 막상 받아보니까 매우 좋습니다ㅜㅜ 미관을 해치지 않아요! 사진으로 볼 때보다 실물이 훨씬 멋져요!!글구 혼자 살았을 때 300L를 썼습니다. 가득 찬 경우가 별로 없었고 남편될 사람이 엄청 먹는 것도 아니고 음식 쌓아두는 성격도 아니어서 이 정도 용량이면 될 것 같았어요~ 너무 크면 집 좁아보일 것 같기도 했고요.. 530L가 넓게 빠져서 괜찮아보였습니다.4일 가량 사용해봤습니다.4도어+매직스페이스... 사랑입니다♡문이 다섯 개나 있으니 귀찮지 않을까 걱정했는데 오히려 구분이 딱딱 되니까 너무 좋네요!! 이런 정리정돈은 엄청 좋아라해서...?제가 두 달 간 왜 고민을 했을까요? 이렇게 좋은데ㅠㅠ소음도 거의 없습니다?,100점,11번가,2019.08.13.,rn****
